age,gender,residence,competative_exams,access_to_internet,study_hours_per_day,has_scholarship,extracurricular_activities,fam_fin_status,health,location,f_edu,m_edu,f_job,m_job,alcoholic,additional_tuition,fam_size,fam_relation,prev_percent_1,prev_percent_2,prev_percent_3,TARGET_PREDICTION_PERCENT
19,M,D,1.0,1.0,3.0,1,1,3,5,R,5,5,1,0,0,1,7,4,87,41.0,59.0,60.0
23,F,H,1.0,1.0,6.0,0,1,3,4,R,5,3,1,1,2,1,4,2,79,71.0,75.0,93.0
27,M,H,0.0,1.0,5.0,1,0,2,4,R,5,2,1,1,1,0,4,4,90,92.0,86.0,94.0
18,F,H,1.0,1.0,2.0,0,1,2,3,U,4,4,1,0,1,0,4,5,86,80.0,87.0,84.0
19,M,D,0.0,1.0,2.0,0,1,4,5,U,3,3,1,0,1,1,3,5,91,89.0,87.0,88.0
21,M,D,0.0,1.0,9.0,1,0,4,4,U,4,1,1,0,1,0,4,2,91,82.0,89.0,87.0
21,M,D,0.0,0.0,4.0,1,1,3,4,R,3,3,1,1,1,1,3,4,88,91.0,78.0,85.0
19,M,D,0.0,1.0,5.0,1,0,3,4,U,3,4,1,0,1,0,4,5,91,97.0,49.0,88.0
16,M,D,0.0,0.0,1.0,0,1,1,5,U,3,1,1,1,2,0,4,5,82,82.0,81.0,80.0
18,M,D,0.0,0.0,1.0,0,1,1,3,R,5,3,1,1,0,1,3,3,70.19,66.59,62.36,68.94
19,M,H,0.0,1.0,8.0,1,0,4,4,R,1,1,0,0,4,0,4,4,50,65.0,69.0,71.0
23,M,H,1.0,1.0,7.0,1,1,3,3,R,3,3,0,0,0,0,3,3,90,87.0,79.0,86.0
21,M,D,0.0,1.0,5.0,0,1,5,2,U,1,2,0,0,1,0,4,4,81,60.0,91.0,87.0
20,F,H,1.0,1.0,2.0,0,1,2,5,R,5,2,1,0,0,1,5,5,65,82.0,96.0,98.0
19,F,H,1.0,0.0,6.0,1,0,5,3,U,1,4,0,0,0,1,4,5,93,74.0,78.0,98.0
22,M,D,0.0,0.0,5.0,1,1,5,4,R,5,4,1,1,0,0,4,4,85,88.0,82.0,98.0
15,M,H,0.0,1.0,1.0,1,0,5,1,U,2,2,1,1,1,1,4,5,50,79.0,60.0,90.0
20,M,H,1.0,1.0,9.0,0,0,5,3,U,1,4,1,0,0,1,3,2,70,72.0,78.0,65.0
22,M,H,0.0,1.0,5.0,0,1,3,3,U,3,3,1,1,3,1,6,4,89,90.0,76.0,80.0
16,F,H,1.0,1.0,4.0,0,0,2,3,U,2,2,1,1,1,0,4,5,73,71.0,72.0,73.0
24,F,H,1.0,1.0,9.0,0,1,2,3,U,1,1,1,0,0,0,5,3,72,77.0,58.0,78.0
23,F,H,1.0,1.0,9.0,1,0,4,5,U,4,3,1,1,1,0,3,5,86,97.0,79.0,87.0
19,F,D,0.0,1.0,6.0,0,1,4,5,U,4,4,1,1,0,1,3,5,79,77.0,79.0,76.0
20,F,D,1.0,1.0,5.0,1,0,3,3,R,1,1,1,1,2,0,3,3,85,88.0,75.0,94.0
18,M,D,0.0,1.0,8.0,1,0,5,4,R,4,5,1,0,0,0,4,5,87,67.0,77.7,76.0
19,F,H,0.0,0.0,8.0,0,1,4,5,R,3,4,1,1,0,1,4,5,84,84.0,82.0,85.0
21,F,D,0.0,1.0,6.0,1,0,4,2,R,5,5,0,0,0,1,4,5,88,44.0,95.0,58.0
27,M,H,0.0,1.0,9.0,1,0,4,5,U,2,1,1,0,1,0,5,1,83,77.0,69.0,94.0
19,M,H,1.0,1.0,8.0,0,1,4,5,U,5,4,1,1,0,0,4,5,97,96.0,93.0,92.0
21,F,H,0.0,0.0,3.0,0,0,2,4,R,4,4,0,0,0,0,4,4,77.78,67.0,69.0,80.0
21,M,H,1.0,1.0,9.0,1,1,3,3,R,4,1,1,0,4,1,5,4,85,91.0,79.0,96.0
20,M,H,0.0,1.0,6.0,0,1,3,4,U,4,4,1,0,1,0,4,5,78,76.0,75.0,79.0
19,F,D,1.0,1.0,1.0,1,0,2,5,U,2,1,1,0,4,1,3,2,89,88.0,64.0,92.0
20,M,D,1.0,1.0,7.0,1,0,3,5,R,3,1,1,0,0,1,4,2,60,65.0,73.0,92.0
23,M,H,1.0,1.0,4.0,0,0,4,5,U,4,0,1,0,0,0,4,4,83,34.0,96.0,95.0
20,M,H,0.0,1.0,2.0,0,1,3,4,U,3,3,1,0,3,0,4,3,97,95.0,84.0,92.0
21,F,H,0.0,1.0,3.0,0,0,2,4,U,4,4,0,0,0,0,5,4,70.94,69.63,70.61,71.73
20,M,H,1.0,1.0,11.0,0,0,2,5,U,3,1,1,0,0,0,4,3,84,75.0,84.0,81.0
21,M,D,0.0,1.0,0.0,0,1,3,4,U,4,4,1,0,1,0,3,5,75,75.0,79.0,76.0
18,M,D,0.0,1.0,4.0,1,0,5,5,U,5,5,1,1,0,0,3,3,76,72.0,77.0,78.0
20,M,H,0.0,1.0,6.0,0,1,2,9,R,1,1,0,0,1,0,4,5,80,79.0,78.0,84.0
20,M,D,0.0,1.0,5.0,0,1,2,3,U,5,2,1,0,1,0,4,3,77,70.0,86.0,91.0
18,F,D,1.0,1.0,5.0,0,0,3,5,U,3,3,1,0,1,0,5,5,84,82.0,85.0,83.0
F,15,D,1.0,1.0,4.0,0,0,3,3,R,3,1,1,0,2,1,5,4,46,50.0,59.0,55.0
21,M,H,0.0,1.0,7.0,0,1,2,5,R,2,2,1,0,1,0,4,5,85,85.0,81.0,85.0
20,M,H,1.0,1.0,2.0,0,1,4,3,U,4,5,1,1,2,0,3,5,88,89.0,62.0,80.0
18,F,D,0.0,0.0,6.0,0,1,5,5,R,4,3,0,1,2,1,3,2,85,71.0,85.0,74.0
22,M,H,0.0,0.0,7.0,0,0,4,5,R,2,2,1,0,1,0,4,3,72,74.0,64.0,77.0
19,M,D,0.0,1.0,7.0,0,1,4,5,U,5,4,1,1,0,0,4,5,94,93.0,92.0,93.0
22,M,H,1.0,1.0,5.0,0,1,3,4,U,1,3,1,0,4,0,2,5,76,84.0,81.0,82.0
27,M,H,1.0,0.0,8.0,0,1,1,4,R,3,3,1,1,3,1,4,5,51,57.0,83.0,78.0
25,F,H,0.0,0.0,4.0,0,1,4,4,U,5,1,1,0,0,1,4,5,72,56.0,68.0,77.0
10,F,H,0.0,0.0,4.0,0,0,4,2,R,5,4,0,0,0,1,13,5,88,81.0,84.0,84.0
F,16,D,0.0,0.0,2.0,1,0,5,2,U,2,2,1,1,2,0,3,4,49,55.0,61.0,59.0
21,M,D,0.0,1.0,0.0,0,0,2,2,U,0,2,1,0,3,0,6,2,65,64.0,63.0,68.0
16,F,D,1.0,1.0,6.0,0,0,3,3,U,4,4,1,0,1,1,6,4,95,92.0,94.08,76.0
23,F,H,1.0,1.0,2.0,1,0,2,3,U,3,3,1,0,1,1,5,3,86,89.0,80.0,87.0
M,15,D,1.0,1.0,2.0,0,0,2,5,R,4,4,1,0,4,1,5,5,63,45.0,56.0,55.0
20,F,D,0.0,0.0,4.0,0,0,4,3,U,4,3,1,0,1,0,4,2,92,92.0,81.0,87.0
23,F,D,0.0,1.0,5.0,1,1,2,4,U,4,3,1,0,4,1,2,5,76,90.0,83.0,85.0
18,F,D,0.0,0.0,2.0,0,0,4,4,U,1,0,0,0,3,1,3,4,32,35.0,30.0,32.0
19,F,D,0.0,3.0,3.0,0,4,3,5,U,5,2,1,1,0,0,3,5,81,89.0,88.0,89.0
20,M,H,1.0,0.0,1.0,0,0,5,4,R,5,5,1,0,4,1,4,3,89,74.0,91.0,72.0
23,F,D,0.0,0.0,4.0,0,0,2,5,R,5,2,1,0,1,0,3,2,69,55.0,77.0,82.0
19,F,D,0.0,1.0,4.0,0,1,5,5,R,5,5,1,1,0,0,4,2,88,92.0,92.0,93.0
20,M,H,1.0,1.0,4.0,1,0,5,5,R,5,2,1,1,3,0,3,5,92,90.0,86.0,99.0
24,M,H,1.0,1.0,4.0,1,1,4,3,R,2,1,1,0,4,1,4,4,54,54.0,73.0,60.0
18,M,H,0.0,1.0,1.0,0,1,3,3,U,4,1,1,1,2,0,4,5,98,94.0,96.0,96.0
25,M,H,0.0,1.0,10.0,1,0,4,5,R,4,2,1,1,1,1,4,2,92,74.0,99.0,88.0
18,F,H,1.0,1.0,1.0,1,1,1,3,R,2,5,1,1,0,1,5,5,58,36.0,78.0,91.0
26,M,D,0.0,0.0,4.0,1,0,2,4,R,2,2,1,0,0,1,6,1,87,90.0,79.0,93.0
M,15,D,0.0,1.0,2.0,0,1,1,2,U,3,3,0,0,4,1,4,5,66,77.0,75.0,72.0
21,F,H,1.0,1.0,9.0,0,1,5,3,U,1,4,1,0,0,0,3,3,60,69.0,56.0,85.0
21,M,D,0.0,0.0,4.0,0,0,2,3,U,0,4,0,1,0,0,6,4,98,40.0,88.0,92.0
21,F,D,0.0,1.0,2.0,1,0,2,5,R,2,3,1,1,0,1,6,5,57,83.0,92.0,68.0
20,M,H,0.0,1.0,1.0,1,1,3,4,U,4,3,1,0,1,0,5,3,81,83.0,47.0,87.0
23,M,D,1.0,1.0,6.0,0,0,3,4,U,1,0,0,0,3,0,3,2,75,67.0,82.0,75.0
20,M,D,1.0,1.0,3.0,1,1,3,5,U,4,2,1,0,1,0,4,5,69,69.0,69.0,69.0
27,M,D,0.0,1.0,12.0,0,1,3,5,R,4,3,1,1,4,0,4,4,79,60.0,74.0,71.0
21,M,H,0.0,1.0,1.0,1,1,4,5,R,5,5,0,0,1,0,4,5,77,70.0,79.0,88.0
22,M,H,0.0,1.0,1.0,1,1,2,5,R,2,2,0,0,0,0,4,5,74,77.0,74.0,76.0
22,M,D,1.0,1.0,5.0,1,1,4,4,U,5,5,1,1,0,0,5,4,60,80.0,76.0,79.0
21,M,H,1.0,1.0,6.0,0,1,3,4,R,4,3,0,1,1,0,6,3,89,92.0,80.0,85.0
22,F,D,0.0,0.0,5.0,0,1,5,5,R,5,5,0,0,2,1,5,5,88,91.0,80.0,86.0
28,F,D,1.0,1.0,6.0,1,0,2,3,R,3,2,1,1,1,0,4,5,62,57.0,61.0,62.0
19,M,D,0.0,1.0,2.0,1,1,3,5,U,3,4,1,0,1,0,4,5,68,67.0,75.0,76.0
21,F,D,1.0,0.0,6.0,1,1,4,3,R,4,3,1,0,0,0,3,3,89,90.0,77.0,83.0
18,F,H,1.0,0.0,5.0,1,0,5,4,U,2,0,1,0,2,0,6,1,73.05,74.08,77.72,77.63
28,M,H,1.0,0.0,7.0,0,1,4,3,R,2,2,1,1,2,0,3,5,56,69.0,71.0,76.0
19,F,D,1.0,1.0,2.0,0,1,4,4,U,4,3,1,1,4,0,3,5,90,90.0,75.0,73.0
16,F,D,1.0,1.0,2.0,0,1,2,2,U,2,1,1,1,1,0,5,5,89,87.0,96.0,94.0
10,M,D,0.0,0.0,5.0,0,1,2,4,R,3,2,1,1,0,0,9,3,75,78.0,69.0,74.0
21,M,H,1.0,1.0,2.0,0,0,1,3,R,4,3,0,0,0,1,4,4,98,98.0,88.0,94.0
20,M,D,0.0,1.0,9.0,1,0,3,4,R,3,2,0,0,1,0,4,5,77,83.0,91.0,72.0
19,F,H,1.0,1.0,9.0,1,0,5,5,U,2,1,1,0,4,0,3,5,42,61.0,35.0,46.0
21,F,D,1.0,0.0,9.0,1,1,2,3,R,4,3,1,1,0,1,4,1,68,79.0,66.0,75.0
16,F,D,0.0,1.0,2.0,0,0,5,3,U,3,3,1,1,1,0,3,2,95,92.0,90.0,93.0
19,M,D,0.0,3.0,4.0,1,1,4,4,U,4,3,1,1,0,0,5,4,87,86.0,99.0,95.0
18,M,D,1.0,1.0,2.0,0,1,2,2,U,3,5,1,0,2,1,3,3,34,82.0,95.0,75.0
21,M,H,1.0,1.0,5.0,1,1,3,5,R,2,1,1,0,2,0,3,3,70,76.0,73.0,96.0
19,M,D,1.0,1.0,2.0,0,1,1,4,U,5,5,1,0,2,0,4,5,81,80.0,95.0,75.0
M,16,D,1.0,1.0,2.0,0,1,3,5,U,4,2,1,1,0,1,5,4,87,88.0,92.0,89.0
22,M,D,0.0,1.0,1.0,0,0,2,4,U,5,4,1,0,0,0,4,5,60,60.0,60.0,60.0
22,F,D,2.0,2.0,2.0,0,0,4,3,U,3,4,1,0,1,1,5,3,84,87.0,96.0,93.0
21,M,H,1.0,1.0,1.0,1,1,3,4,R,3,2,0,0,2,0,4,3,82,76.0,90.0,76.0
22,F,H,1.0,0.0,2.0,1,1,4,4,U,1,0,0,0,4,0,3,2,38,30.0,54.0,41.0
21,F,D,0.0,1.0,2.0,0,1,3,3,U,4,1,0,0,2,0,3,4,71,70.0,70.0,72.0
22,M,D,0.0,1.0,1.0,0,1,3,3,U,1,1,1,0,1,0,3,3,80,82.0,80.0,82.0
19,M,D,1.0,1.0,8.0,1,1,1,5,U,2,3,0,0,1,0,4,5,88,90.0,82.0,79.0
26,M,H,0.0,1.0,6.0,1,1,5,3,R,4,2,1,1,2,0,3,4,59,70.0,64.0,96.0
23,F,D,0.0,1.0,2.0,0,1,2,3,U,3,3,0,1,0,0,3,5,60,65.0,86.0,88.0
21,F,D,1.0,1.0,1.0,0,1,3,3,U,3,1,1,1,1,0,1,4,83,90.0,75.0,80.0
21,M,D,0.0,1.0,1.0,0,1,4,4,U,3,1,1,0,1,0,4,4,69,73.0,76.0,73.0
15,M,H,0.0,1.0,4.0,0,1,3,3,U,4,4,1,0,5,0,4,1,88,96.0,92.0,92.0
22,M,H,1.0,1.0,1.0,0,0,2,1,R,0,5,1,0,1,0,2,3,58.47,61.24,56.99,63.35
16,F,H,0.0,1.0,7.0,0,1,3,5,U,3,3,1,1,0,1,4,1,86,96.0,93.0,91.0
20,F,H,0.0,1.0,4.0,0,0,2,3,R,2,2,0,0,1,0,4,2,93,88.0,77.0,82.0
23,M,D,0.0,0.0,5.0,1,1,3,4,R,3,3,1,1,1,1,3,4,89,92.0,79.0,82.0
24,M,H,1.0,1.0,5.0,0,1,5,5,U,4,2,1,1,0,0,5,5,62,71.0,51.0,69.0
22,F,D,0.0,1.0,8.0,0,1,3,4,U,3,3,0,0,1,0,5,3,75,80.0,82.0,70.0
22,M,H,0.0,1.0,5.0,0,1,3,5,U,5,3,0,0,0,1,6,5,83,47.0,53.0,54.0
22,M,D,0.0,0.0,4.0,1,1,5,3,R,5,4,1,0,1,1,5,3,88,91.0,80.0,56.0
23,F,H,1.0,1.0,6.0,0,1,4,4,R,2,1,1,1,2,1,5,2,80,81.0,74.0,82.0
19,M,H,0.0,1.0,6.0,0,1,4,5,R,5,5,1,1,0,1,4,5,69,70.0,66.0,72.0
22,M,H,0.0,1.0,7.0,1,1,4,3,U,0,1,1,1,0,1,4,5,87.79,89.8,88.24,89.02
22,M,H,0.0,1.0,18.0,0,0,3,5,U,3,2,1,0,0,0,14,5,78.5,79.0,80.0,81.0
21,M,D,1.0,1.0,6.0,1,1,3,3,R,3,3,0,0,2,1,4,4,89,92.0,79.0,85.0
23,M,D,1.0,1.0,3.0,0,1,2,3,U,2,4,1,1,1,1,3,2,91,93.0,80.0,95.0
20,M,D,0.0,0.0,4.0,0,0,3,3,U,3,3,1,0,1,0,4,3,92,88.0,80.0,87.0
20,F,D,0.0,0.0,3.0,1,1,2,5,R,5,4,0,0,1,1,4,1,73.17,68.56,68.72,74.63
21,M,D,1.0,0.0,6.0,1,1,3,3,R,3,3,0,0,2,1,5,5,88,87.0,78.0,83.0
20,M,D,0.0,1.0,3.0,1,0,3,4,U,2,1,1,1,1,0,4,1,88,84.0,80.0,74.0
19,F,D,0.0,1.0,7.0,0,0,3,5,R,5,2,1,0,4,1,4,3,55,83.0,60.0,65.0
24,F,H,1.0,1.0,2.0,0,0,3,4,U,2,5,1,1,4,0,4,5,79,63.0,74.0,85.0
24,F,D,0.0,1.0,5.0,1,0,4,5,R,1,3,1,0,3,1,3,4,96,93.0,78.0,87.0
15,M,D,1.0,1.0,1.0,0,1,3,5,U,4,4,1,0,1,0,4,5,77,80.0,97.0,85.0
20,M,H,0.0,1.0,2.0,0,1,3,5,U,5,3,1,0,1,0,4,4,72,76.0,77.0,92.0
19,M,H,1.0,1.0,0.0,0,1,4,5,U,4,4,1,1,2,0,6,4,94,86.0,90.0,90.0
18,F,D,0.0,0.0,0.0,0,3,5,4,U,4,2,1,0,0,0,3,3,99,81.0,98.0,89.0
16,F,D,1.0,1.0,1.0,0,1,2,1,U,4,4,1,1,1,1,4,5,91,92.0,88.0,87.0
23,F,D,1.0,1.0,1.0,1,0,2,4,U,3,4,0,1,0,1,8,5,47,60.0,49.0,67.0
21,F,D,0.0,1.0,1.0,0,1,3,4,U,3,1,1,0,2,0,5,4,70,72.0,68.0,75.0
24,F,H,1.0,1.0,5.0,0,1,5,5,U,4,5,0,0,2,1,6,3,88,76.0,33.0,95.0
F,15,D,1.0,1.0,2.0,0,0,4,2,R,4,4,1,1,1,1,4,3,78,67.0,89.0,75.0
16,F,D,1.0,1.0,3.0,1,1,3,4,U,4,3,1,1,2,1,5,3,88,82.0,89.0,96.0
19,M,D,0.0,1.0,8.0,0,1,4,4,U,5,5,1,1,0,0,3,5,97,96.0,96.0,95.0
19,M,H,0.0,1.0,7.0,0,1,5,5,R,2,4,1,1,1,0,7,5,86,88.0,92.0,87.0
20,M,D,0.0,1.0,2.0,0,1,3,5,U,3,3,1,1,1,0,4,5,85,85.0,85.0,85.0
20,M,H,0.0,1.0,2.0,1,1,2,3,R,2,2,0,0,1,0,4,4,65,70.0,81.0,71.0
23,M,H,1.0,1.0,7.0,1,1,4,4,U,4,4,1,0,2,1,5,5,91,89.0,78.0,83.0
22,F,D,0.0,1.0,1.0,1,1,4,4,U,4,4,1,1,1,1,4,4,75,74.0,73.0,75.0
24,F,H,1.0,1.0,5.0,0,0,4,5,U,2,4,1,0,0,0,9,5,86,83.0,53.0,67.0
18,M,D,0.0,0.0,2.0,1,0,5,3,U,4,4,1,1,0,1,5,5,83,93.0,95.0,91.0
24,F,H,0.0,1.0,2.0,0,1,3,3,U,5,2,1,0,0,1,2,5,91,77.0,73.0,62.0
26,M,D,0.0,1.0,11.0,0,0,3,4,R,3,2,1,1,0,1,3,1,65,54.0,65.0,61.0
20,F,H,1.0,1.0,6.0,0,0,5,5,U,5,5,1,1,1,1,4,5,96,90.0,75.0,87.0
22,F,H,0.0,1.0,7.0,0,0,2,3,R,3,1,1,0,1,0,5,3,70,76.0,68.0,93.0
22,M,D,0.0,1.0,4.0,1,1,5,5,U,3,3,1,0,0,0,4,5,75,77.0,78.0,77.0
19,F,H,1.0,1.0,3.0,0,1,4,3,U,5,4,1,1,0,0,4,5,75,87.0,85.0,82.0
19,M,H,0.0,1.0,1.0,0,1,3,3,U,4,4,1,1,2,0,3,5,80,80.0,80.0,80.0
10,M,D,0.0,0.0,3.0,0,1,5,1,U,1,2,1,1,0,0,10,2,71,75.0,95.0,80.0
21,F,D,1.0,1.0,5.0,0,0,1,5,U,4,4,1,1,1,0,5,5,79,82.96,85.62,83.59
21,M,D,0.0,3.0,3.0,2,4,5,4,U,2,3,1,0,3,1,4,5,82,92.0,94.0,89.0
17,F,D,0.0,1.0,2.0,0,0,4,3,U,1,1,0,1,1,0,5,5,76.79,78.56,81.57,82.79
16,F,D,1.0,1.0,2.0,0,0,5,3,U,3,4,0,1,1,0,4,2,98,97.0,96.0,94.0
20,F,D,1.0,1.0,4.0,1,1,3,4,U,1,1,1,1,1,0,4,5,89,87.0,85.0,87.0
22,M,H,0.0,1.0,5.0,0,1,4,4,R,4,4,0,1,2,1,6,4,90,87.0,75.0,80.0
18,M,H,1.0,1.0,6.0,1,1,5,5,U,5,5,0,1,4,0,5,1,99,97.0,93.0,96.0
18,F,D,1.0,1.0,6.0,0,1,5,1,U,2,1,0,0,1,0,5,2,61.94,57.28,53.22,59.7
21,F,D,0.0,1.0,3.0,0,1,2,4,U,4,2,1,0,1,0,5,4,72.6,73.5,80.2,71.2
21,F,H,0.0,1.0,3.0,0,0,3,5,U,3,1,0,0,1,0,6,5,77.21,76.83,77.12,77.21
21,M,D,2.0,0.0,6.0,0,3,5,5,U,5,2,1,0,0,1,3,4,93,99.0,98.0,95.0
23,F,H,0.0,1.0,4.0,1,0,3,3,U,5,4,0,0,1,1,3,5,90,92.0,62.0,81.0
21,F,H,0.0,1.0,5.0,1,1,2,4,U,4,2,0,0,0,0,6,5,72.27,71.96,73.22,72.94
18,M,D,1.0,0.0,5.0,1,1,5,5,R,2,4,1,1,1,0,7,5,85,77.0,82.0,84.0
23,M,H,1.0,1.0,11.0,1,0,5,3,R,5,3,1,1,0,0,3,3,69,68.0,79.0,72.0
19,F,H,0.0,1.0,3.0,0,1,3,4,U,4,3,1,0,0,0,2,5,64,65.0,81.0,89.0
20,F,D,0.0,1.0,3.0,1,1,4,4,U,4,4,1,0,1,0,4,4,83,83.0,76.0,76.0
23,F,H,1.0,1.0,7.0,1,1,2,2,R,2,2,0,1,0,0,3,3,89,91.0,79.0,85.0
21,M,D,0.0,0.0,0.0,0,0,3,3,U,3,1,1,0,2,0,5,3,"75,6",76.8,78.3,80.0
22,F,D,1.0,0.0,3.0,0,1,5,3,U,3,4,1,1,2,0,5,4,85,76.0,98.0,93.0
20,F,D,1.0,1.0,9.0,0,0,3,4,U,2,1,1,0,4,0,3,5,76,74.0,79.0,76.0
26,M,D,0.0,0.0,3.0,0,0,4,4,R,1,4,0,0,1,1,10,1,77,71.0,81.0,76.0
19,M,H,0.0,1.0,2.0,0,1,3,4,R,3,2,1,1,3,0,5,1,57,52.0,72.0,60.0
28,F,H,1.0,1.0,5.0,1,1,5,4,R,1,1,1,1,0,0,4,3,66,82.0,57.0,67.0
16,F,H,1.0,1.0,2.0,0,0,3,3,U,3,3,1,0,4,1,3,2,73,76.0,89.0,76.0
19,F,H,0.0,1.0,2.0,0,1,3,3,U,3,3,0,0,1,1,10,4,95,93.0,86.0,91.0
23,F,D,0.0,1.0,4.0,0,0,3,5,U,1,1,1,0,1,0,4,3,67.5,65.9,69.9,68.4
21,M,D,0.0,0.0,4.0,1,1,3,4,R,3,3,1,1,1,1,3,4,88,91.0,78.0,90.0
M,16,D,0.0,1.0,2.0,0,0,3,3,U,2,2,1,0,2,1,3,4,67,77.0,87.0,79.0
20,F,D,1.0,1.0,2.0,0,1,2,5,R,4,4,1,0,0,0,4,4,89,84.0,78.0,89.0
23,M,D,0.0,1.0,2.0,1,0,4,4,R,4,5,1,0,2,0,5,4,89,91.0,80.0,95.0
20,M,D,1.0,1.0,7.0,0,1,4,5,U,4,3,1,0,1,0,4,5,75,75.0,88.0,70.0
16,M,D,1.0,1.0,8.0,0,1,5,4,U,5,5,1,0,0,1,4,5,89,88.7,85.0,87.0
19,F,D,0.0,1.0,7.0,0,1,3,4,U,5,4,1,1,0,0,4,5,95,94.0,96.0,93.0
10,F,D,0.0,0.0,3.0,0,1,4,5,R,2,4,0,0,0,0,15,4,76,70.0,69.0,71.0
20,F,H,1.0,1.0,3.0,1,0,3,5,U,5,5,1,1,0,1,4,5,78.6,38.9,67.7,65.0
16,M,D,0.0,1.0,2.0,0,0,3,4,U,2,2,1,0,4,1,4,4,84,100.0,95.0,90.0
21,M,H,1.0,1.0,3.0,1,1,4,4,U,5,5,1,1,0,0,4,4,75,75.0,75.0,76.0
20,F,D,1.0,1.0,5.0,1,0,3,5,U,4,3,1,0,1,0,5,5,93,90.0,67.0,88.0
20,M,H,1.0,3.0,0.0,1,3,4,3,U,5,2,1,0,0,2,3,4,81,82.0,93.0,85.0
24,M,H,0.0,1.0,2.0,1,0,1,5,R,4,3,0,1,2,1,3,2,84,56.0,51.0,86.0
19,M,H,0.0,1.0,4.0,0,1,2,5,U,5,5,1,1,0,0,4,5,90,93.0,91.0,92.0
20,F,D,0.0,1.0,4.0,0,0,2,2,U,2,2,1,1,1,0,4,2,87,92.0,79.0,85.0
